round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9375,0.2206980139017105,0.005266897999945286,2,8256,8272,2,2,0.0716638108715415,0.98301329394387
2,0.9375,0.2060125470161438,0.006164911000041684,2,8256,8272,2,2,0.03048036154359579,0.9977843426883308
3,0.9488636363636364,0.20191340148448944,0.006387437999819667,2,8256,8272,2,2,0.01754617504775524,1.0
4,0.9261363636363636,0.19952064752578735,0.006705176999957985,2,8256,8272,2,2,0.01542256260290742,1.0
5,0.9431818181818182,0.19954004883766174,0.0064798029998200946,2,8256,8272,2,2,0.01303227012977004,1.0
6,0.9431818181818182,0.19735302031040192,0.004415940000171759,2,8256,8272,2,2,0.011309628374874592,1.0
7,0.9431818181818182,0.20538115501403809,0.004261032999920644,2,8256,8272,2,2,0.009565162472426891,1.0
8,0.9431818181818182,0.20298992097377777,0.006439842999952816,2,8256,8272,2,2,0.009814013261348009,1.0
9,0.9375,0.2062964290380478,0.004466725999918708,2,8256,8272,2,2,0.009290695656090975,1.0
10,0.9431818181818182,0.2073604166507721,0.0043520819999685045,2,8256,8272,2,2,0.008291013771668077,1.0
11,0.9375,0.20418491959571838,0.004518406000215691,2,8256,8272,2,2,0.008171547669917345,1.0
12,0.9375,0.21000628173351288,0.004320370999948864,2,8256,8272,2,2,0.006804585689678788,1.0
13,0.9375,0.2096090167760849,0.004283651999912763,2,8256,8272,2,2,0.00713857333175838,1.0
14,0.9375,0.21457776427268982,0.004259249000142518,2,8256,8272,2,2,0.006812467705458403,1.0
15,0.9375,0.21472102403640747,0.007042397000077472,2,8256,8272,2,2,0.0060201899614185095,1.0
16,0.9375,0.21560955047607422,0.005179231000056461,2,8256,8272,2,2,0.005812137154862285,1.0
17,0.9375,0.21726252138614655,0.004480424000121275,2,8256,8272,2,2,0.005923238582909107,1.0
18,0.9375,0.2175978273153305,0.004523622000078831,2,8256,8272,2,2,0.005640407558530569,1.0
19,0.9375,0.21871326863765717,0.0043178050000278745,2,8256,8272,2,2,0.005053558619692922,1.0
20,0.9375,0.21837693452835083,0.004270987999916542,2,8256,8272,2,2,0.0052505796775221825,1.0
21,0.9375,0.21965885162353516,0.0045349970000643225,2,8256,8272,2,2,0.005163469817489386,1.0
22,0.9375,0.219405397772789,0.005174041000145735,2,8256,8272,2,2,0.0049515796126797795,1.0
23,0.9375,0.2213064730167389,0.006501097000182199,2,8256,8272,2,2,0.004742706776596606,1.0
24,0.9375,0.22130559384822845,0.004672690000006696,2,8256,8272,2,2,0.004707108484581113,1.0
25,0.9375,0.2238345593214035,0.004886587000100917,2,8256,8272,2,2,0.004581797984428704,1.0
